"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","Synthetic","KeyPoint","Withheld","Overlap","ScanAngleRank","UserData","PointSourceId","Red","Green","Blue","ClusterID"
572288.153,4498586.869,40.540,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,61696.000,60672.000,59904.000,8.000
572288.157,4498586.887,40.535,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,62464.000,60928.000,59904.000,8.000
572288.153,4498586.895,40.546,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,60416.000,59392.000,57088.000,8.000
572288.154,4498586.910,40.548,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,57344.000,55808.000,54528.000,8.000
572288.153,4498586.922,40.553,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,59136.000,57344.000,56064.000,8.000
572288.150,4498586.931,40.565,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,57344.000,55808.000,55040.000,8.000
572288.146,4498586.944,40.579,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,57856.000,55040.000,54016.000,8.000
572288.143,4498586.957,40.589,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,57600.000,56320.000,54528.000,8.000
572288.142,4498586.969,40.596,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,47872.000,46592.000,44800.000,8.000
572288.142,4498586.982,40.600,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,59648.000,57856.000,56064.000,8.000
572288.143,4498586.997,40.600,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,58112.000,57600.000,55552.000,8.000
572288.145,4498587.013,40.600,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,60416.000,59648.000,58368.000,8.000
572288.145,4498586.886,40.531,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,61952.000,61184.000,59648.000,8.000
